iso3_country,original_inventory_sector,start_time,end_time,gas,emissions_quantity,emissions_quantity_units,temporal_granularity,created_date,modified_date
ABW,oil-and-gas-production-and-transport,2022-01-01 00:00:00,2022-12-31 00:00:00,ch4,,tonnes,annual,2023-10-10 22:40:45.610576,
ABW,oil-and-gas-production-and-transport,2022-01-01 00:00:00,2022-12-31 00:00:00,co2,,tonnes,annual,2023-10-10 22:40:45.610565,
ABW,oil-and-gas-production-and-transport,2022-01-01 00:00:00,2022-12-31 00:00:00,co2e_100yr,,tonnes,annual,2023-10-10 22:40:45.610594,
ABW,oil-and-gas-production-and-transport,2022-01-01 00:00:00,2022-12-31 00:00:00,co2e_20yr,,tonnes,annual,2023-10-10 22:40:45.610604,
ABW,oil-and-gas-production-and-transport,2022-01-01 00:00:00,2022-12-31 00:00:00,n2o,,tonnes,annual,2023-10-10 22:40:45.610584,
AFG,oil-and-gas-production-and-transport,2015-01-01 00:00:00,2015-12-31 00:00:00,ch4,,tonnes,annual,2023-10-10 22:40:44.900415,
AFG,oil-and-gas-production-and-transport,2015-01-01 00:00:00,2015-12-31 00:00:00,co2,,tonnes,annual,2023-10-10 22:40:44.900403,
AFG,oil-and-gas-production-and-transport,2015-01-01 00:00:00,2015-12-31 00:00:00,co2e_100yr,,tonnes,annual,2023-10-10 22:40:44.900444,
AFG,oil-and-gas-production-and-transport,2015-01-01 00:00:00,2015-12-31 00:00:00,co2e_20yr,,tonnes,annual,2023-10-10 22:40:44.900453,
AFG,oil-and-gas-production-and-transport,2015-01-01 00:00:00,2015-12-31 00:00:00,n2o,,tonnes,annual,2023-10-10 22:40:44.900423,
AFG,oil-and-gas-production-and-transport,2016-01-01 00:00:00,2016-12-31 00:00:00,ch4,,tonnes,annual,2023-10-10 22:40:45.001519,
AFG,oil-and-gas-production-and-transport,2016-01-01 00:00:00,2016-12-31 00:00:00,co2,,tonnes,annual,2023-10-10 22:40:45.001508,
AFG,oil-and-gas-production-and-transport,2016-01-01 00:00:00,2016-12-31 00:00:00,co2e_100yr,,tonnes,annual,2023-10-10 22:40:45.001537,
AFG,oil-and-gas-production-and-transport,2016-01-01 00:00:00,2016-12-31 00:00:00,co2e_20yr,,tonnes,annual,2023-10-10 22:40:45.001546,
AFG,oil-and-gas-production-and-transport,2016-01-01 00:00:00,2016-12-31 00:00:00,n2o,,tonnes,annual,2023-10-10 22:40:45.001527,
AFG,oil-and-gas-production-and-transport,2017-01-01 00:00:00,2017-12-31 00:00:00,ch4,,tonnes,annual,2023-10-10 22:40:45.100884,
AFG,oil-and-gas-production-and-transport,2017-01-01 00:00:00,2017-12-31 00:00:00,co2,,tonnes,annual,2023-10-10 22:40:45.100873,
AFG,oil-and-gas-production-and-transport,2017-01-01 00:00:00,2017-12-31 00:00:00,co2e_100yr,,tonnes,annual,2023-10-10 22:40:45.100903,
AFG,oil-and-gas-production-and-transport,2017-01-01 00:00:00,2017-12-31 00:00:00,co2e_20yr,,tonnes,annual,2023-10-10 22:40:45.100912,
AFG,oil-and-gas-production-and-transport,2017-01-01 00:00:00,2017-12-31 00:00:00,n2o,,tonnes,annual,2023-10-10 22:40:45.100893,
AFG,oil-and-gas-production-and-transport,2018-01-01 00:00:00,2018-12-31 00:00:00,ch4,,tonnes,annual,2023-10-10 22:40:45.202333,
AFG,oil-and-gas-production-and-transport,2018-01-01 00:00:00,2018-12-31 00:00:00,co2,,tonnes,annual,2023-10-10 22:40:45.202321,
AFG,oil-and-gas-production-and-transport,2018-01-01 00:00:00,2018-12-31 00:00:00,co2e_100yr,,tonnes,annual,2023-10-10 22:40:45.202351,
AFG,oil-and-gas-production-and-transport,2018-01-01 00:00:00,2018-12-31 00:00:00,co2e_20yr,,tonnes,annual,2023-10-10 22:40:45.202361,
AFG,oil-and-gas-production-and-transport,2018-01-01 00:00:00,2018-12-31 00:00:00,n2o,,tonnes,annual,2023-10-10 22:40:45.202341,
AFG,oil-and-gas-production-and-transport,2019-01-01 00:00:00,2019-12-31 00:00:00,ch4,,tonnes,annual,2023-10-10 22:40:45.302842,
AFG,oil-and-gas-production-and-transport,2019-01-01 00:00:00,2019-12-31 00:00:00,co2,,tonnes,annual,2023-10-10 22:40:45.302831,
AFG,oil-and-gas-production-and-transport,2019-01-01 00:00:00,2019-12-31 00:00:00,co2e_100yr,,tonnes,annual,2023-10-10 22:40:45.302861,
AFG,oil-and-gas-production-and-transport,2019-01-01 00:00:00,2019-12-31 00:00:00,co2e_20yr,,tonnes,annual,2023-10-10 22:40:45.30287,
AFG,oil-and-gas-production-and-transport,2019-01-01 00:00:00,2019-12-31 00:00:00,n2o,,tonnes,annual,2023-10-10 22:40:45.30285,
AFG,oil-and-gas-production-and-transport,2020-01-01 00:00:00,2020-12-31 00:00:00,ch4,,tonnes,annual,2023-10-10 22:40:45.403536,
AFG,oil-and-gas-production-and-transport,2020-01-01 00:00:00,2020-12-31 00:00:00,co2,,tonnes,annual,2023-10-10 22:40:45.403525,
AFG,oil-and-gas-production-and-transport,2020-01-01 00:00:00,2020-12-31 00:00:00,co2e_100yr,,tonnes,annual,2023-10-10 22:40:45.403554,
AFG,oil-and-gas-production-and-transport,2020-01-01 00:00:00,2020-12-31 00:00:00,co2e_20yr,,tonnes,annual,2023-10-10 22:40:45.403563,
AFG,oil-and-gas-production-and-transport,2020-01-01 00:00:00,2020-12-31 00:00:00,n2o,,tonnes,annual,2023-10-10 22:40:45.403544,
AFG,oil-and-gas-production-and-transport,2021-01-01 00:00:00,2021-12-31 00:00:00,ch4,,tonnes,annual,2023-10-10 22:40:45.507629,
AFG,oil-and-gas-production-and-transport,2021-01-01 00:00:00,2021-12-31 00:00:00,co2,,tonnes,annual,2023-10-10 22:40:45.507619,
AFG,oil-and-gas-production-and-transport,2021-01-01 00:00:00,2021-12-31 00:00:00,co2e_100yr,,tonnes,annual,2023-10-10 22:40:45.507647,
AFG,oil-and-gas-production-and-transport,2021-01-01 00:00:00,2021-12-31 00:00:00,co2e_20yr,,tonnes,annual,2023-10-10 22:40:45.507656,
AFG,oil-and-gas-production-and-transport,2021-01-01 00:00:00,2021-12-31 00:00:00,n2o,,tonnes,annual,2023-10-10 22:40:45.507637,
AFG,oil-and-gas-production-and-transport,2022-01-01 00:00:00,2022-12-31 00:00:00,ch4,,tonnes,annual,2023-10-10 22:40:45.604092,
AFG,oil-and-gas-production-and-transport,2022-01-01 00:00:00,2022-12-31 00:00:00,co2,,tonnes,annual,2023-10-10 22:40:45.604081,
AFG,oil-and-gas-production-and-transport,2022-01-01 00:00:00,2022-12-31 00:00:00,co2e_100yr,,tonnes,annual,2023-10-10 22:40:45.60411,
AFG,oil-and-gas-production-and-transport,2022-01-01 00:00:00,2022-12-31 00:00:00,co2e_20yr,,tonnes,annual,2023-10-10 22:40:45.604134,
AFG,oil-and-gas-production-and-transport,2022-01-01 00:00:00,2022-12-31 00:00:00,n2o,,tonnes,annual,2023-10-10 22:40:45.6041,
AGO,oil-and-gas-production-and-transport,2015-01-01 00:00:00,2015-12-31 00:00:00,ch4,843090.1514963219,tonnes,annual,2023-10-10 22:40:44.3777,2023-10-27 23:15:06.835991
AGO,oil-and-gas-production-and-transport,2015-01-01 00:00:00,2015-12-31 00:00:00,co2,25873570.9643276,tonnes,annual,2023-10-10 22:40:44.377681,2023-10-27 23:15:06.835991
AGO,oil-and-gas-production-and-transport,2015-01-01 00:00:00,2015-12-31 00:00:00,co2e_100yr,50997657.47891799,tonnes,annual,2023-10-10 22:40:44.377727,2023-11-09 22:35:16.13567
